#ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
0#41360#55,0#management#married#tertiary#no#2960,0#yes#no#cellular#31#aug#1.0#98,0#11#other#no
15273#637#52,0#blue-collar#divorced#primary#yes#-183,0#yes#no#unknown#6#may#1.0#-1,0#0#unknown#no
15274#29862#32,0#services#single#secondary#no#746,0#no#no#cellular#4#feb#1.0#-1,0#0#unknown#no
15275#35773#42,0#management#married#tertiary#no#0,0#yes#no#cellular#8#may#1.0#360,0#1#failure#no
15276#856#47,0#admin.#single#secondary#no#594,0#yes#no#unknown#7#may#1.0#-1,0#0#unknown#no
15277#24243#43,0#services#married#secondary#no#3305,0#yes#no#cellular#17#nov#1.0#-1,0#0#unknown#no
15278#2540#53,0#retired#single#secondary#no#1421,0#yes#no#unknown#13#may#2.0#-1,0#0#unknown#no
15279#34383#47,0#blue-collar#married#secondary#no#668,0#yes#no#cellular#4#may#6.0#354,0#2#success#no
15280#11509##technician#single#secondary#no#-782,0#yes#yes#unknown#19#jun#10.0#-1,0#0#unknown#no
15281#25959#37,0#technician#married#secondary#no#5902,0#yes#no#cellular#19#nov#1.0#180,0#4#failure#no
15282#5580#33,0#blue-collar#married#primary#no#2665,0#yes#no#unknown#23#may#2.0#-1,0#0#unknown#no
15283#31968#60,0#management#married#primary#no#252,0#yes#yes#cellular#13#apr#2.0#147,0#3#failure#no
15284#35710##admin.#single#secondary#no#506,0#yes#no#cellular#8#may#4.0#-1,0#0#unknown#no
15285#44641#41,0#technician#married#secondary#no#11,0#yes#no#telephone#1#sep#1.0#-1,0#0#unknown#no
15286#28726#42,0#technician#single#secondary#no#60,0#yes#yes#cellular#30#jan#2.0#241,0#1#other#no
15287#6429#39,0#technician#married#secondary#no#768,0#yes#yes#unknown#27#may#4.0#-1,0#0#unknown#no
15288#40952#32,0#technician#single#tertiary#no#696,0#no#yes#cellular#13#aug#4.0#105,0#4#failure#no
15289#32678#32,0#blue-collar#married#secondary#no#9,0#yes#no#cellular#17#apr#2.0#-1,0#0#unknown#no
15290#7417#55,0#retired#divorced#primary#no#53,0#yes#no#unknown#29#may#2.0#-1,0#0#unknown#no
15291#9929#47,0#services#single#secondary#no#3644,0#no#no#unknown#9#jun#2.0#-1,0#0#unknown#no
15292#30033##blue-collar#married#primary#no#2135,0#no#no#cellular#4#feb#2.0#-1,0#0#unknown#no
15293#745#45,0#blue-collar#married#unknown#no#248,0#yes#no#unknown#6#may#5.0#-1,0#0#unknown#no
15294#24012#46,0#unemployed#married#secondary#no#46,0#no#no#telephone#29#aug#2.0#-1,0#0#unknown#no
15295#38432##self-employed#married#tertiary#no#6000,0#yes#no#cellular#15#may#6.0#178,0#1#failure#no
15296#21262#51,0#blue-collar#married#secondary#no#193,0#no#no#cellular#18#aug#5.0#-1,0#0#unknown#no
15297#43166#28,0#student#single#secondary#no#1925,0#no#no#cellular#26#feb#1.0#93,0#3#success#no
15298#5639#53,0#blue-collar#married#primary#no#3316,0#yes#no#unknown#23#may#6.0#-1,0#0#unknown#no
15299#1132#48,0#admin.#married#secondary#no#5,0#yes#no#unknown#7#may#2.0#-1,0#0#unknown#no
15300#33446#34,0#technician#divorced#secondary#no#0,0#yes#yes#cellular#20#apr#3.0#269,0#2#other#no
15301#36022#45,0#technician#married#secondary#no#1412,0#yes#no#cellular#11#may#4.0#-1,0#0#unknown#no
15302#22559#47,0#services#married#secondary#no#2322,0#no#no#cellular#22#aug#1.0#-1,0#0#unknown#no
15303#14251##technician#married#secondary#no#568,0#yes#no#telephone#14#jul#2.0#-1,0#0#unknown#no
15304#35354#42,0#admin.#married#secondary#no#874,0#yes#no#cellular#7#may#1.0#287,0#2#other#no
15305#19455#34,0#management#divorced#secondary#no#291,0#no#no#cellular#7#aug#2.0#-1,0#0#unknown#no
15306#6260#57,0#housemaid#married#primary#no#411,0#yes#no#unknown#27#may#3.0#-1,0#0#unknown#no
15307#24409##management#single#tertiary#no#1435,0#yes#no#cellular#17#nov#3.0#-1,0#0#unknown#no
15308#13767####tertiary#no###no#cellular#10#jul###0#unknown#no
15309#27601#44,0#housemaid#married#primary#no#2388,0#no#no#cellular#21#nov#2.0#-1,0#0#unknown#no
15310#6355##services#single#secondary#no#1043,0#yes#no#unknown#27#may#2.0#-1,0#0#unknown#no
15311#8245#33,0#management#single#tertiary#no#21096,0#yes#no#unknown#2#jun#2.0#-1,0#0#unknown#no
15312#40964#26,0#management#single#tertiary#no#-8,0#no#no#cellular#13#aug#2.0#-1,0#0#unknown#no
15313#4559#35,0#management#single#secondary#no#5260,0#yes#no#unknown#20#may#2.0#-1,0#0#unknown#no
15314#11286#38,0#services#married#secondary#no#611,0#yes#yes#unknown#18#jun#3.0#-1,0#0#unknown#no
15315#26596#59,0#technician#divorced#secondary#no#2396,0#no#no#cellular#20#nov#1.0#-1,0#0#unknown#yes
15316#20470#30,0#technician#single#secondary#no#700,0#yes#no#cellular#12#aug#2.0#-1,0#0#unknown#no
15317#33325#38,0#self-employed#divorced#secondary#no#0,0#yes#no#cellular#20#apr#1.0#-1,0#0#unknown#no
15318#19573#38,0#technician#single#tertiary#no#369,0#no#no#cellular#7#aug#8.0#-1,0#0#unknown#no
15319#11001#43,0#housemaid#single#primary#no#1354,0#no#no#unknown#17#jun#2.0#-1,0#0#unknown#no
15320#37041#34,0#admin.#single#primary#no#286,0#yes#no#cellular#13#may#1.0#-1,0#0#unknown#no
15321#20326#40,0#self-employed#married#tertiary#no#271,0#yes#no#cellular#11#aug#4.0#-1,0#0#unknown#no
15322#26951#30,0#management#single#secondary#no#8101,0#yes#no#cellular#21#nov#1.0#-1,0#0#unknown#no
15323#1985#28,0#admin.#single#secondary#no#244,0#yes#no#unknown#9#may#3.0#-1,0#0#unknown#no
15324#24557##management#married#tertiary#no#1451,0#yes#no#cellular#17#nov#3.0#150,0#12#failure#no
15325#39236#34,0#admin.#married#secondary#no#393,0#yes#no#cellular#18#may#4.0#355,0#1#failure#no
15326#7009#36,0#technician#married#secondary#yes#947,0#yes#no#unknown#28#may#2.0#-1,0#0#unknown#no
15327#31181#25,0#technician#single#secondary#no#1231,0#yes#no#cellular#27#feb#5.0#-1,0#0#unknown#yes
15328#37198#42,0#blue-collar#single#secondary#no#382,0#yes#no#cellular#13#may#1.0#-1,0#0#unknown#no
15329#10069#48,0#technician#married#secondary#no#1637,0#yes#no#unknown#11#jun#10.0#-1,0#0#unknown#no
15330#43514#30,0#student#single#secondary#no#2046,0#no#no#telephone#21#apr#3.0#254,0#1#failure#yes
15331#6980#39,0#services#married#secondary#no#-971,0#yes#yes#unknown#28#may#2.0#-1,0#0#unknown#no
15332#43200#34,0#admin.#married#secondary#no#5320,0#no#no#cellular#3#mar#6.0#467,0#5#other#no
15333#22519#39,0#management#single#tertiary#no#968,0#yes#no#cellular#22#aug#6.0#-1,0#0#unknown#no
15334#33277#27,0#admin.#single#secondary#no#619,0#yes#no#cellular#20#apr#5.0#322,0#4#other#no
15335#25035#39,0#technician#married#secondary#no#484,0#no#yes#cellular#18#nov#1.0#113,0#3#other#no
15336#9989#58,0#blue-collar#married#secondary#no#535,0#no#no#unknown#9#jun#4.0#-1,0#0#unknown#no
15337#19849#35,0#management#single#tertiary#no#2975,0#no#no#cellular#8#aug#2.0#-1,0#0#unknown#no
15338#6452##services#divorced#secondary#no#51,0#yes#yes#unknown#27#may#2.0#-1,0#0#unknown#yes
15339#2252#40,0#technician#married#secondary#no#2576,0#yes#yes#unknown#12#may#11.0#-1,0#0#unknown#no
15340#17084#42,0#blue-collar#single#primary#no#1628,0#yes#no#cellular#25#jul#8.0#-1,0#0#unknown#yes
15341#6209#28,0#blue-collar#single#secondary#no#1025,0#yes#no#unknown#27#may#1.0#-1,0#0#unknown#no
15342#39360##services#divorced#secondary#no#710,0#yes#no#cellular#18#may#2.0#-1,0#0#unknown#no
15343#42951#52,0#management#married#tertiary#no#3634,0#no#no#cellular#8#feb#8.0#-1,0#0#unknown#yes
15344#44922#42,0#technician#married#secondary#no#2152,0#no#no#cellular#1#oct#1.0#92,0#6#failure#no
15345#25040#32,0#management#single#tertiary#no#135,0#yes#yes#cellular#18#nov#1.0#-1,0#0#unknown#no
15346#16849#48,0#management#divorced#tertiary#no#64,0#no#yes#cellular#25#jul#6.0#-1,0#0#unknown#no
15347#7615#51,0#admin.#married#secondary#no#4178,0#yes#no#unknown#30#may#1.0#-1,0#0#unknown#no
15348#12506#30,0#services#single#secondary#yes#0,0#no#yes#unknown#2#jul#3.0#-1,0#0#unknown#no
15349#14717#45,0#technician#married#secondary#no#1786,0#yes#yes#telephone#15#jul#4.0#-1,0#0#unknown#no
15350#12591#56,0#management#divorced#tertiary#no#94,0#no#no#unknown#4#jul#1.0#-1,0#0#unknown#no
15351#33328#50,0#blue-collar#divorced#secondary#no#881,0#yes#yes#cellular#20#apr#1.0#-1,0#0#unknown#no
15352#23196#30,0#management#single#tertiary#no#60,0#no#no#cellular#27#aug#3.0#-1,0#0#unknown#no
15353#6067#43,0#services#married#secondary#no#278,0#yes#no#unknown#26#may#20.0#-1,0#0#unknown#no
15354#43446#51,0#entrepreneur#divorced#tertiary#no#2109,0#no#no#cellular#12#apr#1.0#181,0#2#success#no
15355#37554#40,0#blue-collar#single#primary#no#2226,0#yes#no#telephone#14#may#7.0#-1,0#0#unknown#no
15356#11589#54,0#retired#divorced#primary#no#52,0#no#no#unknown#19#jun#3.0#-1,0#0#unknown#no
15357#29659#40,0#management#married#tertiary#no#1308,0#no#no#telephone#3#feb#2.0#-1,0#0#unknown#yes
15358#2248##blue-collar#married#secondary#no#78,0#yes#no#unknown#12#may#2.0#-1,0#0#unknown#no
15359#18884#34,0#unknown#married#unknown#no#164,0#no#no#cellular#4#aug#2.0#-1,0#0#unknown#no
15360#43057#28,0#admin.#married#tertiary#no#167,0#yes#yes#cellular#18#feb#2.0#-1,0#0#unknown#no
15361#2614#51,0#management#married#tertiary#no#1212,0#yes#no#unknown#13#may#1.0#-1,0#0#unknown#no
15362#9569#57,0#entrepreneur#married#tertiary#no#1114,0#no#no#unknown#6#jun#2.0#-1,0#0#unknown#no
15363#2310#55,0#blue-collar#married#primary#no#431,0#yes#no#unknown#12#may#2.0#-1,0#0#unknown#no
15364#31319##management#married#tertiary#no#2987,0#no#no#cellular#11#mar#3.0#-1,0#0#unknown#no
15365#5251#30,0#blue-collar#married#primary#no#184,0#yes#no#unknown#23#may#1.0#-1,0#0#unknown#no
15366#15835#40,0#technician#single#secondary#yes#96,0#no#yes#cellular#21#jul#2.0#-1,0#0#unknown#no
15367#7468#30,0#blue-collar#married#secondary#no#125,0#yes#no#unknown#29#may#2.0#-1,0#0#unknown#no
15368#10894#46,0#blue-collar#married#secondary#no#1270,0#yes#no#unknown#17#jun#1.0#-1,0#0#unknown#no
15369#17975#55,0#services#married#secondary#no#96,0#no#no#telephone#30#jul#2.0#-1,0#0#unknown#no
15370#26436#37,0#admin.#single#secondary#no#862,0#no#no#cellular#20#nov#1.0#122,0#2#failure#no
15371#3523#44,0#blue-collar#married#primary#no#0,0#yes#no#unknown#15#may#6.0#-1,0#0#unknown#no
15372#42738#81,0#retired#married#primary#no#243,0#no#no#cellular#27#jan#1.0#92,0#1#success#yes
15373#16877#30,0#technician#married#tertiary#no#179,0#yes#no#cellular#25#jul#2.0#-1,0#0#unknown#no
15374#10390####secondary#no###yes#unknown#12#jun###0#unknown#no
15375#5440#26,0#unemployed#married#tertiary#no#454,0#yes#yes#unknown#23#may#18.0#-1,0#0#unknown#no
15376#33025#53,0#technician#married#secondary#no#5303,0#yes#no#telephone#17#apr#3.0#180,0#1#success#yes
15377#14710#54,0#blue-collar#married#primary#no#126,0#yes#no#cellular#15#jul#4.0#-1,0#0#unknown#no
15378#11759##technician#divorced#tertiary#no#24055,0#no#yes#unknown#20#jun#1.0#-1,0#0#unknown#no
15379#29043#35,0#technician#divorced#secondary#no#2823,0#yes#no#cellular#2#feb#1.0#-1,0#0#unknown#no
15380#41964#77,0#management#married#unknown#no#1780,0#yes#no#cellular#23#oct#2.0#183,0#3#success#yes
15381#15577#41,0#blue-collar#single#secondary#no#98,0#no#yes#cellular#21#jul#6.0#-1,0#0#unknown#no
15382#38452#23,0#admin.#single#secondary#no#252,0#yes#no#cellular#15#may#1.0#-1,0#0#unknown#no
15383#13587#51,0#blue-collar#married#primary#no#804,0#yes#no#cellular#9#jul#1.0#-1,0#0#unknown#no
15384#2696#38,0#blue-collar#married#primary#no#0,0#no#no#unknown#13#may#2.0#-1,0#0#unknown#no
15385#44291#37,0#management#married#tertiary#no#387,0#no#no#cellular#26#jul#2.0#419,0#1#failure#no
15386#30854#33,0#technician#married#tertiary#no#79,0#yes#yes#cellular#9#feb#8.0#-1,0#0#unknown#no
15387#40852#71,0#retired#divorced#tertiary#no#261,0#no#no#cellular#12#aug#2.0#-1,0#0#unknown#no
15388#12201#52,0#technician#divorced#secondary#no#2816,0#no#no#unknown#20#jun#3.0#-1,0#0#unknown#no
15389#31178#25,0#admin.#single#tertiary#no#760,0#yes#no#cellular#27#feb#2.0#-1,0#0#unknown#no
15390#40997#29,0#management#married#tertiary#no#30,0#no#no#cellular#13#aug#1.0#105,0#1#failure#no
15391#44790#24,0#student#single#unknown#no#358,0#no#no#cellular#14#sep#2.0#92,0#2#success#no
15392#36190##admin.#single#secondary#no#78,0#yes#no#cellular#11#may#1.0#370,0#1#other#no
15393#24069#45,0#admin.#married#secondary#no#5346,0#yes#yes#unknown#21#oct#1.0#-1,0#0#unknown#yes
15394#34311#28,0#blue-collar#single#primary#no#551,0#no#no#cellular#4#may#3.0#-1,0#0#unknown#no
15395#44003#72,0#retired#married#primary#no#0,0#no#no#cellular#28#jun#6.0#94,0#6#failure#no
15396#12957##blue-collar#single#secondary#no#218,0#no#no#cellular#7#jul#2.0#-1,0#0#unknown#no
15397#3408#54,0#self-employed#divorced#secondary#no#1374,0#yes#no#unknown#15#may#2.0#-1,0#0#unknown#no
15398#38212#33,0#services#divorced#secondary#no#1156,0#yes#no#cellular#15#may#1.0#177,0#2#failure#no
15399#8494#32,0#services#married#secondary#no#1464,0#yes#no#unknown#3#jun#1.0#-1,0#0#unknown#no
15400#34516#37,0#services#divorced#secondary#no#726,0#yes#no#cellular#5#may#2.0#362,0#2#other#no
15401#4867#36,0#management#married#tertiary#no#849,0#yes#yes#unknown#21#may#2.0#-1,0#0#unknown#yes
15402#37138##technician#single#primary#no#340,0#yes#no#cellular#13#may#1.0#349,0#1#failure#no
15403#31530#35,0#management#single#tertiary#no#4348,0#yes#no#cellular#2#apr#3.0#217,0#8#failure#no
15404#15204#29,0#management#married#tertiary#no#900,0#no#no#cellular#17#jul#2.0#-1,0#0#unknown#no
15405#40491#48,0#management#married#secondary#no#2892,0#no#no#cellular#7#jul#1.0#385,0#1#success#yes
15406#30098#33,0#management#single#tertiary#no#1240,0#yes#no#cellular#4#feb#2.0#260,0#1#other#no
15407#15533#34,0#admin.#married#secondary#no#430,0#yes#no#cellular#21#jul#4.0#-1,0#0#unknown#no
15408#18456#51,0#self-employed#married#primary#no#106,0#yes#no#telephone#31#jul#2.0#-1,0#0#unknown#no
15409#5853#35,0#blue-collar#married#primary#no#690,0#yes#no#unknown#26#may#3.0#-1,0#0#unknown#no
15410#26777#52,0#blue-collar#married#secondary#no#7119,0#no#yes#telephone#20#nov#3.0#-1,0#0#unknown#yes
15411#5032#48,0#blue-collar#divorced#primary#no#338,0#yes#no#unknown#21#may#12.0#-1,0#0#unknown#no
15412#15186#42,0#blue-collar#married#secondary#no#600,0#no#no#cellular#17#jul#3.0#-1,0#0#unknown#no
15413#7352#40,0#services#married#secondary#no#-116,0#yes#no#unknown#29#may#3.0#-1,0#0#unknown#no
15414#9962#58,0#blue-collar#married#secondary#no#25,0#no#no#unknown#9#jun#3.0#-1,0#0#unknown#yes
15415#336#49,0#blue-collar#married#secondary#no#30,0#yes#no#unknown#5#may#4.0#-1,0#0#unknown#no
15416#42333#55,0#technician#divorced#tertiary#no#0,0#no#no#cellular#17#nov#2.0#91,0#1#success#yes
15417#24564#40,0#blue-collar#married#secondary#no#0,0#yes#no#cellular#17#nov#1.0#-1,0#0#unknown#no
15418#7848#35,0#management#single#tertiary#no#687,0#yes#no#unknown#30#may#2.0#-1,0#0#unknown#no
15419#37329##services#married#primary#no#306,0#yes#no#cellular#13#may#5.0#-1,0#0#unknown#yes
15420#41108#36,0#services#single#tertiary#no#1189,0#no#no#cellular#17#aug#1.0#-1,0#0#unknown#yes
15421#38014#55,0#blue-collar#married#primary#no#-219,0#yes#no#telephone#14#may#2.0#364,0#4#failure#no
15422#10887#58,0#retired#divorced#secondary#no#0,0#no#no#unknown#17#jun#5.0#-1,0#0#unknown#no
15423#5940#41,0#unknown#married#primary#no#526,0#no#no#unknown#26#may#3.0#-1,0#0#unknown#no
15424#32138#31,0#blue-collar#married#secondary#no#1131,0#yes#yes#cellular#15#apr#1.0#148,0#6#failure#no
15425#4665#44,0#services#married#secondary#no#1422,0#yes#no#unknown#20#may#8.0#-1,0#0#unknown#no
15426#27232#31,0#technician#single#tertiary#no#1166,0#yes#no#cellular#21#nov#2.0#171,0#1#failure#no
15427#18941#46,0#technician#married#tertiary#no#3009,0#no#no#cellular#4#aug#2.0#-1,0#0#unknown#no
15428#1071#42,0#management#married#secondary#no#0,0#no#no#unknown#7#may#4.0#-1,0#0#unknown#no
15429#27028#34,0#management#married#tertiary#no#6463,0#yes#no#cellular#21#nov#1.0#-1,0#0#unknown#no
15430#11215##management#married#tertiary#no#17361,0#no#no#unknown#18#jun#1.0#-1,0#0#unknown#no
15431#30946#60,0#technician#married#secondary#no#21,0#no#no#telephone#9#feb#4.0#-1,0#0#unknown#no
15432#15767##blue-collar#single#secondary#no#188,0#yes#yes#cellular#21#jul#1.0#-1,0#0#unknown#no
15433#24604#47,0#technician#married#secondary#no#734,0#yes#no#cellular#17#nov#3.0#-1,0#0#unknown#no
15434#43911##student#single#unknown#no#53,0#no#no#cellular#14#jun#1.0#-1,0#0#unknown#yes
15435#37476#31,0#unemployed#married#tertiary#no#232,0#yes#no#cellular#13#may#3.0#-1,0#0#unknown#no
15436#40111#50,0#management#single#secondary#no#431,0#no#no#telephone#4#jun#2.0#-1,0#0#unknown#no
15437#17367#31,0#management#single#secondary#yes#20,0#yes#no#cellular#28#jul#5.0#-1,0#0#unknown#no
15438#18544#35,0#blue-collar#divorced#primary#no#4401,0#yes#no#cellular#31#jul#4.0#-1,0#0#unknown#no
15439#7253##technician#married#unknown#no#9687,0#yes#no#unknown#29#may#1.0#-1,0#0#unknown#no
15440#21757#47,0#services#married#secondary#no#459,0#no#no#cellular#19#aug#3.0#-1,0#0#unknown#no
15441#27032#33,0#blue-collar#married#unknown#no#2655,0#yes#no#cellular#21#nov#1.0#-1,0#0#unknown#no
15442#16775#48,0#blue-collar#married#primary#no#595,0#no#no#cellular#24#jul#1.0#-1,0#0#unknown#no
15443#17085#50,0#admin.#divorced#secondary#no#797,0#yes#no#telephone#25#jul#8.0#-1,0#0#unknown#no
15444#44745#39,0#management#married#tertiary#no#494,0#no#no#cellular#9#sep#1.0#183,0#5#success#yes
15445#555#33,0#blue-collar#married#secondary#no#-10,0#yes#no#unknown#6#may#1.0#-1,0#0#unknown#no
15446#43916##retired#divorced#primary#no#275,0#no#no#cellular#14#jun#1.0#425,0#1#success#yes
15447#31309#29,0#admin.#single#secondary#no#345,0#no#no#cellular#11#mar#3.0#-1,0#0#unknown#no
15448#21646#32,0#technician#married#secondary#no#266,0#yes#no#cellular#19#aug#2.0#-1,0#0#unknown#no
15449#28938#45,0#technician#divorced#secondary#no#441,0#yes#no#cellular#2#feb#1.0#-1,0#0#unknown#no
15450#38000#35,0#admin.#single#secondary#no#-133,0#yes#no#cellular#14#may#3.0#-1,0#0#unknown#no
15451#38561#30,0#management#single#tertiary#no#9,0#yes#yes#cellular#15#may#2.0#-1,0#0#unknown#no
15452#38290#28,0#management#single#secondary#no#703,0#yes#no#cellular#15#may#1.0#88,0#1#other#yes
15453#41214#25,0#student#single#secondary#no#3090,0#no#no#cellular#21#aug#1.0#-1,0#0#unknown#no
15454#20568#46,0#self-employed#married#secondary#no#548,0#no#no#cellular#12#aug#4.0#-1,0#0#unknown#yes
15455#5453#28,0#blue-collar#single#secondary#no#369,0#yes#no#unknown#23#may#3.0#-1,0#0#unknown#no
15456#4393#37,0#management#married#tertiary#no#897,0#no#no#unknown#20#may#1.0#-1,0#0#unknown#no
15457#20765#48,0#technician#divorced#secondary#no#145,0#yes#no#cellular#13#aug#5.0#-1,0#0#unknown#no
15458#37530#42,0#services#divorced#secondary#no#83,0#no#no#cellular#13#may#5.0#358,0#6#failure#no
15459#27694##blue-collar#married#primary#no#2720,0#yes#no#cellular#21#nov#2.0#179,0#3#failure#no
15460#12056#43,0#management#married#tertiary#no#445,0#no#yes#unknown#20#jun#4.0#-1,0#0#unknown#no
15461#36897#31,0#student#single#secondary#no#241,0#yes#no#cellular#12#may#5.0#-1,0#0#unknown#no
15462#24214#55,0#management#married#tertiary#no#1402,0#yes#no#cellular#17#nov#1.0#-1,0#0#unknown#no
15463#1181#27,0#services#divorced#secondary#no#96,0#yes#no#unknown#8#may#1.0#-1,0#0#unknown#no
15464#27845#39,0#unknown#single#unknown#no#0,0#no#no#telephone#28#jan#1.0#-1,0#0#unknown#no
15465#43617#36,0#unemployed#married#tertiary#no#7222,0#yes#no#cellular#4#may#1.0#181,0#5#failure#no
15466#34143#29,0#management#single#tertiary#no#2753,0#no#no#cellular#30#apr#1.0#-1,0#0#unknown#yes
15467#8048#33,0#technician#single#secondary#no#374,0#yes#yes#unknown#2#jun#1.0#-1,0#0#unknown#no
15468#43190##retired#divorced#tertiary#no#2,0#no#no#cellular#2#mar#4.0#390,0#2#other#yes
15469#25933#52,0#management#married#tertiary#no#40,0#no#no#cellular#19#nov#3.0#-1,0#0#unknown#yes
15470#15284#46,0#blue-collar#divorced#secondary#no#709,0#yes#no#cellular#18#jul#4.0#-1,0#0#unknown#no
15471#22523#30,0#technician#single#secondary#no#3,0#no#no#cellular#22#aug#2.0#-1,0#0#unknown#no
15472#15625#31,0#management#single#tertiary#no#5691,0#yes#no#cellular#21#jul#1.0#-1,0#0#unknown#no
15473#42687#26,0#admin.#single#secondary#no#1099,0#no#no#cellular#15#jan#2.0#225,0#13#other#no
15474#25692##blue-collar#single#secondary#no#9102,0#yes#no#cellular#19#nov#1.0#-1,0#0#unknown#no
15475#17889#59,0#retired#single#secondary#no#2303,0#no#yes#telephone#30#jul#2.0#-1,0#0#unknown#no
15476#20841#45,0#technician#divorced#tertiary#no#206,0#no#no#cellular#13#aug#4.0#-1,0#0#unknown#no
15477#38021#43,0#blue-collar#married#primary#no#-418,0#yes#yes#cellular#14#may#2.0#-1,0#0#unknown#no
15478#14186#35,0#services#married#tertiary#no#260,0#yes#no#cellular#11#jul#2.0#-1,0#0#unknown#no
15479#18477#37,0#blue-collar#married#secondary#no#14,0#yes#no#cellular#31#jul#18.0#-1,0#0#unknown#no
15480#11429#59,0#technician#married#secondary#no#2528,0#no#yes#unknown#19#jun#1.0#-1,0#0#unknown#no
15481#8248#44,0#blue-collar#divorced#primary#yes#-119,0#yes#no#unknown#2#jun#5.0#-1,0#0#unknown#no
15482#38939#43,0#blue-collar#married#primary#no#249,0#yes#no#cellular#18#may#5.0#298,0#2#other#no
15483#40762#32,0#self-employed#single#tertiary#no#1815,0#no#no#telephone#10#aug#1.0#102,0#2#failure#yes
15484#13865#41,0#entrepreneur#divorced#secondary#no#-29,0#yes#no#cellular#10#jul#1.0#-1,0#0#unknown#no
15485#39896#49,0#technician#married#tertiary#no#523,0#yes#no#cellular#2#jun#1.0#60,0#3#failure#yes
15486#35736#23,0#blue-collar#single#secondary#no#0,0#yes#no#cellular#8#may#5.0#350,0#2#failure#no
15487#32833#52,0#admin.#divorced#secondary#no#340,0#yes#no#cellular#17#apr#1.0#344,0#1#failure#no
15488#26337#46,0#blue-collar#divorced#secondary#no#931,0#no#yes#cellular#20#nov#2.0#-1,0#0#unknown#no
15489#23441#31,0#technician#single#secondary#no#201,0#no#no#cellular#28#aug#9.0#-1,0#0#unknown#no
